SessionNumber,DateTime,Device,Assessment,StartTime,StopTime,GameName,TrialDataFileLocation,DeviceSetupLocation,AssistMode,AssistModeParameters,GameParameter,Mechanism,MoveTime
1,11-11-2024 15:40,PLUTO,0,11-11-2024 15:40,11-11-2024 15:40,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-11\Session1\HOC_pingPong_D2024-11-11T15-40-10.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,HOC,75
2,12-11-2024 09:07,PLUTO,0,12-11-2024 09:07,12-11-2024 09:07,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session2\FPS_pingPong_D2024-11-12T09-07-31.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,75
2,12-11-2024 09:07,PLUTO,0,12-11-2024 09:07,12-11-2024 09:09,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session2\FPS_pingPong_D2024-11-12T09-07-55.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FPS,75
3,12-11-2024 09:50,PLUTO,0,12-11-2024 09:50,12-11-2024 09:50,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WURD_pingPong_D2024-11-12T09-50-16.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WURD,75
3,12-11-2024 09:50,PLUTO,0,12-11-2024 09:50,12-11-2024 09:51,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WURD_pingPong_D2024-11-12T09-50-30.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WURD,75
3,12-11-2024 09:51,PLUTO,0,12-11-2024 09:51,12-11-2024 09:51,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WFE_pingPong_D2024-11-12T09-51-21.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WFE,75
3,12-11-2024 09:51,PLUTO,0,12-11-2024 09:51,12-11-2024 09:52,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\WFE_pingPong_D2024-11-12T09-51-32.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,WFE,75
3,12-11-2024 09:52,PLUTO,0,12-11-2024 09:52,12-11-2024 09:53,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-52-52.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,75
3,12-11-2024 09:53,PLUTO,0,12-11-2024 09:53,12-11-2024 09:53,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-53-26.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,75
3,12-11-2024 09:53,PLUTO,0,12-11-2024 09:53,12-11-2024 09:53,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-53-37.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,75
3,12-11-2024 09:53,PLUTO,0,12-11-2024 09:53,12-11-2024 09:54,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-53-59.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,75
3,12-11-2024 09:54,PLUTO,0,12-11-2024 09:54,12-11-2024 09:55,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME1_pingPong_D2024-11-12T09-54-17.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME1,24
3,12-11-2024 09:55,PLUTO,0,12-11-2024 09:55,12-11-2024 09:55,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME2_pingPong_D2024-11-12T09-55-38.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,24
3,12-11-2024 09:56,PLUTO,0,12-11-2024 09:56,12-11-2024 09:56,PING-PONG,D:/GamePP/PLUTO-HOMER/Assets/data/sessions\2024-11-12\Session3\FME2_pingPong_D2024-11-12T09-56-14.csv,CMC-Bioeng-dpt,Null,Null,YourGameParameter,FME2,24
